symbol,timestamp,liq_long_count,liq_short_count,liq_long_usd_size,liq_short_usd_size,trade_long_count,trade_short_count,trade_long_usd_size,trade_short_usd_size,funding_rate
BTCUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,7,84,184668.3798924,3262056.4487021994,0.0001
ETHUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,4,25,190022.82304299998,567105.15932,0.0001
XRPUSDT,2024-12-10 11:02:46,0,1,0.0,5215.18078,12,6,319391.2459999999,80470.9705,0.0001
SOLUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,4,15,124436.29286,261896.28267,0.0001
LINKUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,1,2,14999.9234,38532.7932,0.0001
ADAUSDT,2024-12-10 11:02:46,0,1,0.0,202.03722,5,2,91482.21979999999,24452.83674,0.0001
TRXUSDT,2024-12-10 11:02:46,0,1,0.0,489.95072,1,0,16846.439300000002,0.0,0.0001
BNBUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,1,0.0,18324.19827,5.372e-05
SUIUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,0,0.0,0.0,-3.315e-05
HBARUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,0,0.0,0.0,0.0001
LTCUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,0,0.0,0.0,0.0001
SUSHIUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,0,0.0,0.0,0.0001
UNIUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,6,0.0,113505.22958000001,0.0001
AVAXUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,2,1,23747.3808,15425.4628,4.766e-05
ALGOUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,0,0.0,0.0,0.0001
ETCUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,0,0.0,0.0,0.0001
DOTUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,1,0.0,24419.844479999996,9.416e-05
FILUSDT,2024-12-10 11:02:46,0,1,0.0,2909.179,0,1,0.0,14915.9712,0.0001
ARBUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,0,0.0,0.0,0.0001
BCHUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,0,0.0,0.0,0.0001
WLDUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,1,0,10201.3821,0.0,-7.93e-06
CRVUSDT,2024-12-10 11:02:46,0,2,0.0,1705.8892,0,6,0.0,82170.91986000001,0.0001
NEARUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,0,0.0,0.0,7.641e-05
XLMUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,1,1,25883.149999999998,11138.7045,0.0001
SANDUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,0,0.0,0.0,0.0001
AAVEUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,1,0.0,14040.257730000001,0.0001
RENDERUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,0,0.0,0.0,5e-05
APTUSDT,2024-12-10 11:02:46,0,0,0.0,0.0,0,0,0.0,0.0,0.0001
